generator,strategy,language,answers,claims,faithfulness_score,faithfulness_ci_low,faithfulness_ci_high,supported_claim_rate,unsupported_claim_rate,fully_supported_answer_rate,fully_supported_ci_low,fully_supported_ci_high,citation_precision,citation_recall,valid_citation_rate,abstention_rate
qwen2_5_original,bm25_rag,zh,400,1194,0.6653227500852633,0.6529238729920019,0.6762670643547594,0.847571189279732,0.15242881072026804,0.6825,0.635,0.7275,0.8767123287671232,0.06225296442687747,1.0,0.0
qwen2_5_original,bm25_rag,en,400,1172,0.6213492125386284,0.609968358115231,0.6321727808036487,0.8361774744027304,0.16382252559726962,0.71,0.665,0.755,0.9763313609467456,0.3346938775510204,1.0,0.0
qwen2_5_original,hybrid_rag_approved,zh,400,1207,0.7031031757173025,0.6929701640671888,0.7130812295634491,0.8782104391052196,0.12178956089478044,0.7525,0.7075,0.795,0.9545454545454546,0.07735849056603773,1.0,0.0
qwen2_5_original,hybrid_rag_approved,en,400,1176,0.6289271684273013,0.6171520551097269,0.6400867485721107,0.8358843537414966,0.1641156462585034,0.715,0.67,0.76,0.9701492537313433,0.3296032553407935,1.0,0.0
qwen2_5_qlora,bm25_rag,zh,400,526,0.7296336513612455,0.7148103836995816,0.7433833596321735,0.9258555133079848,0.07414448669201523,0.9007832898172323,0.8694516971279374,0.9295039164490861,0.0,0.0,0.0,0.0
qwen2_5_qlora,bm25_rag,en,400,677,0.6133642641711566,0.6035624479206589,0.6227561168629677,0.9054652880354506,0.09453471196454943,0.8675,0.8325,0.8975624999999996,0.0,0.0,0.0,0.0
qwen2_5_qlora,hybrid_rag_approved,zh,400,553,0.7602712718053259,0.7499953581110574,0.7707135934466313,0.9638336347197106,0.03616636528028938,0.9511568123393316,0.9280205655526992,0.9717223650385605,0.0,0.0,0.0,0.0
qwen2_5_qlora,hybrid_rag_approved,en,400,718,0.619713770882537,0.6096944152604744,0.6282668434436655,0.9052924791086351,0.09470752089136492,0.87,0.8375,0.9025,1.0,0.0015384615384615385,1.0,0.0
glm_4_original,bm25_rag,zh,400,2317,0.6213207034577802,0.6121632542907351,0.6305669966070062,0.8338368580060423,0.16616314199395765,0.52,0.4725,0.5675,0.7945736434108527,0.11490683229813664,1.0,0.0
glm_4_original,bm25_rag,en,400,1729,0.5885125637695726,0.5798299758379111,0.5969547768762682,0.8426836321573163,0.15731636784268366,0.6,0.5525,0.6475,0.9344729344729344,0.2230610844200412,1.0,0.0
glm_4_original,hybrid_rag_approved,zh,400,2289,0.6382874488492186,0.629553086832283,0.6477049142187786,0.836609873307121,0.163390126692879,0.5375,0.49,0.585,0.7741935483870968,0.12637075718015667,1.0,0.0
glm_4_original,hybrid_rag_approved,en,400,1745,0.5960592124078068,0.5868795895041078,0.6044524716937691,0.8521489971346705,0.14785100286532948,0.6025,0.555,0.65,0.946078431372549,0.2589105581708137,1.0,0.0
glm_4_qlora,bm25_rag,zh,400,1826,0.6763731778538927,0.6638433413897098,0.6884942193230237,0.8943044906900328,0.10569550930996718,0.8207070707070707,0.7828282828282829,0.8585858585858586,0.5714285714285714,0.006736068585425597,1.0,0.0
glm_4_qlora,bm25_rag,en,400,2554,0.5791216191109712,0.5715243471280529,0.5865050389959858,0.9095536413469069,0.09044635865309314,0.66,0.6124375000000001,0.7075,0.525,0.013775290572535515,1.0,0.0
glm_4_qlora,hybrid_rag_approved,zh,400,1839,0.7082310428922116,0.6966090063677481,0.7188475617355208,0.9352909189777052,0.06470908102229478,0.8743718592964824,0.8417085427135679,0.9045226130653267,0.3333333333333333,0.004651162790697674,1.0,0.0
glm_4_qlora,hybrid_rag_approved,en,400,2596,0.5915115371046956,0.5841678232581701,0.5986613541926556,0.9179506933744221,0.08204930662557786,0.6675,0.6225,0.7125,0.6,0.01049097775912715,1.0,0.0
qwen3_14b_reference,bm25_rag,zh,400,809,0.6931875021532179,0.6799002806376044,0.7061210783699527,0.8504326328800988,0.14956736711990115,0.7625,0.72,0.8025,0.9923371647509579,0.376453488372093,1.0,0.0
qwen3_14b_reference,bm25_rag,en,400,938,0.6276911377316075,0.6165270691686354,0.6386698460782081,0.8518123667377399,0.14818763326226014,0.785,0.745,0.825,0.9811715481171548,0.5844806007509387,1.0,0.0
qwen3_14b_reference,hybrid_rag_approved,zh,400,838,0.7263110381501418,0.7148906473316562,0.7382076005606292,0.8675417661097852,0.13245823389021483,0.805,0.765,0.845,0.9829931972789115,0.39752407152682256,1.0,0.0
qwen3_14b_reference,hybrid_rag_approved,en,400,965,0.6360022148088152,0.6246682946635832,0.6465409314925494,0.8642487046632125,0.13575129533678754,0.7875,0.745,0.825,0.9899799599198397,0.5935251798561151,1.0,0.0
